id,caseNumber,block,iucr,primaryType,description,locationDescription,arrest,domestic,beat,district,ward,communityArea,fbiCode,xCoordinate,yCoordinate,year,updatedOn,latitude,longitude,location,date
10560475,HZ307497,121XX S MICHIGAN AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,532,5,9,53,04B,1179022,1824646,2016,06/21/2016 03:56:51 PM,41.674116785,-87.620394665,"(41.674116785, -87.620394665)",2016-06-15T08:30:00.000Z
10560463,HZ307534,020XX W ARTHUR AVE,0560,ASSAULT,SIMPLE,STREET,false,false,2412,24,50,2,08A,1161570,1943154,2016,06/21/2016 03:56:51 PM,41.999694157,-87.680977084,"(41.999694157, -87.680977084)",2016-06-15T08:30:00.000Z
10560477,HZ307472,111XX S WALLACE ST,0460,BATTERY,SIMPLE,CTA BUS STOP,false,false,2233,22,34,49,08B,1174291,1831110,2016,06/21/2016 03:56:51 PM,41.69196113,-87.637519577,"(41.69196113, -87.637519577)",2016-06-15T08:33:00.000Z
10560492,HZ307604,049XX W GEORGE ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,2521,25,31,19,06,1142936,1918829,2016,06/21/2016 03:56:51 PM,41.933313473,-87.75013662,"(41.933313473, -87.75013662)",2016-06-15T08:40:00.000Z
10560472,HZ307459,108XX S WENTWORTH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,513,5,34,49,07,1176866,1833195,2016,06/21/2016 03:56:51 PM,41.697625209,-87.628029681,"(41.697625209, -87.628029681)",2016-06-15T08:40:00.000Z
10578452,HZ307569,071XX N CLARK ST,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,false,false,2424,24,49,1,08A,1163298,1947563,2016,06/30/2016 03:48:43 PM,42.011756256,-87.674495399,"(42.011756256, -87.674495399)",2016-06-15T08:45:00.000Z
10560490,HZ307573,045XX W WASHINGTON BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1113,11,28,26,18,1146222,1900113,2016,06/21/2016 03:56:51 PM,41.881892843,-87.738537596,"(41.881892843, -87.738537596)",2016-06-15T08:45:00.000Z
10560484,HZ307482,019XX W MONTEREY AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,POLICE FACILITY/VEH PARKING LOT,false,true,2212,22,19,75,20,1165742,1830843,2016,06/21/2016 03:56:51 PM,41.691413679,-87.668826246,"(41.691413679, -87.668826246)",2016-06-15T08:45:00.000Z
10560408,HZ307499,021XX N NARRAGANSETT AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,false,false,2512,25,29,19,26,1133401,1913548,2016,06/21/2016 03:56:51 PM,41.918994422,-87.785301728,"(41.918994422, -87.785301728)",2016-06-15T08:46:00.000Z
10560415,HZ307439,023XX S WESTERN AVE,0560,ASSAULT,SIMPLE,GAS STATION,true,false,1034,10,25,31,08A,1160731,1888579,2016,06/21/2016 03:56:51 PM,41.849954132,-87.685580175,"(41.849954132, -87.685580175)",2016-06-15T08:48:00.000Z
10560357,HZ307458,009XX N LAKE SHORE DR,0810,THEFT,OVER $500,STREET,false,false,1833,18,42,8,06,1178554,1907179,2016,06/21/2016 03:56:51 PM,41.900606012,-87.619599921,"(41.900606012, -87.619599921)",2016-06-15T08:50:00.000Z
10560609,HZ307517,053XX W BELMONT AVE,0337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,SMALL RETAIL STORE,false,false,2514,25,30,19,03,1140245,1920758,2016,07/15/2016 03:47:21 PM,41.938656649,-87.759978587,"(41.938656649, -87.759978587)",2016-06-15T08:52:00.000Z
10560516,HZ307468,103XX S EWING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,432,4,10,52,08B,1202162,1836953,2016,06/21/2016 03:56:51 PM,41.707331718,-87.535283747,"(41.707331718, -87.535283747)",2016-06-15T08:52:00.000Z
10564698,HZ308504,037XX W HURON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1112,11,27,23,08B,1151452,1904414,2016,07/04/2016 03:55:03 PM,41.893594163,-87.719219942,"(41.893594163, -87.719219942)",2016-06-15T09:00:00.000Z
10560715,HZ307449,072XX S EAST END AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,324,3,8,43,03,1188786,1857412,2016,07/04/2016 03:55:03 PM,41.763802987,-87.583613278,"(41.763802987, -87.583613278)",2016-06-15T09:00:00.000Z
10570976,HZ318820,053XX N SHERIDAN RD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,2023,20,48,77,26,1168676,1935675,2016,06/27/2016 03:50:03 PM,41.979020089,-87.655053915,"(41.979020089, -87.655053915)",2016-06-15T09:00:00.000Z
